,TSS,end_x,start_x,gene,strand_x,end_y,start_y,strand_y,strand,ratio_ATCACG,ratio_ACAGTG,ratio_CGATGT,ratio_GCCAAT
36,35499,35499,35371,caiE,-,35371.0,34781.0,-,-,0.3,1.1333333333333333,1.8777777777777778,1.3935483870967742
37,42037,42037,41931,caiT,-,41931.0,40417.0,-,-,1.0,0.6666666666666666,0.48484848484848486,0.5494505494505495
38,42325,42403,42325,fixA,+,43173.0,42403.0,+,+,1.5,0.2222222222222222,0.25,0.976
39,45592,45807,45592,yaaU,+,47138.0,45807.0,+,+,3.5,1.2727272727272727,2.6041666666666665,1.5529411764705883
40,47080,47246,47080,kefF,+,47776.0,47246.0,+,+,0.024691358024691357,0.11235955056179775,0.40641711229946526,0.3659305993690852
41,49799,49823,49799,folA,+,50302.0,49823.0,+,+,0.9488243430152143,0.9057971014492754,0.31179564237415475,0.4433307632999229
42,51293,51293,51222,apaH,-,51222.0,50380.0,-,-,0.9608938547486033,1.1614349775784754,0.9844851904090268,1.1287128712871286
43,52034,52034,51606,apaG,-,51606.0,51229.0,-,-,1.0692883895131087,0.8462230215827338,0.9051217464315701,0.9553398058252427
44,52588,52588,52430,rsmA,-,52430.0,51609.0,-,-,0.5203796761585706,0.47626666666666667,0.42209217264081933,0.5321592649310873
45,57156,57156,57109,lptD,-,57109.0,54755.0,-,-,2.5876010781671157,3.6874135546334714,2.3522935779816514,2.4732673267326732
46,57241,57241,57109,lptD,-,57109.0,54755.0,-,-,1.0177276390008059,1.226882745471878,0.8967136150234741,1.0856643356643356
47,57268,57364,57268,djlA,+,58179.0,57364.0,+,+,0.8148148148148148,0.937888198757764,0.42857142857142855,0.7252747252747253
48,57336,57336,57109,lptD,-,57109.0,54755.0,-,-,0.06002034587995931,0.07784743991640543,0.08025830258302583,0.16071428571428573
49,60450,60450,60346,rluA,-,60346.0,59687.0,-,-,1.6594982078853047,1.2880952380952382,1.3515901060070672,1.699228791773779
52,65803,65803,65780,polB,-,65780.0,63429.0,-,-,1.4054054054054055,0.8622222222222222,1.3653846153846154,1.142156862745098
53,70075,70075,70048,araB,-,70048.0,68348.0,-,-,1.0,1.0,5.0,9.0
54,70241,70387,70241,araC,+,71265.0,70387.0,+,+,0.9166666666666666,0.4117647058823529,0.8305084745762712,1.17
55,71271,71351,71271,yabI,+,72115.0,71351.0,+,+,0.9166666666666666,0.58,1.037037037037037,1.094890510948905
56,73085,73085,72927,thiQ,-,72927.0,72229.0,-,-,1.5866666666666667,1.5,0.9298245614035088,1.3289473684210527
58,77338,77338,77299,sgrR,-,77299.0,75644.0,-,-,1.3043478260869565,1.0869565217391304,0.6875,0.8852459016393442
59,77367,77367,77367,sgrS,+,77593.0,77367.0,+,+,7.787878787878788,12.666666666666666,2.358974358974359,1.2622950819672132
60,79594,79594,79453,leuD,-,79453.0,78848.0,-,-,1.1666666666666667,1.2448979591836735,1.0714285714285714,0.7471264367816092
61,83735,83735,83708,leuL,-,83708.0,83622.0,-,-,140.0,73.16666666666667,3.515151515151515,4.3023255813953485
62,83735,83735,83708,leuL,-,83708.0,83622.0,-,-,140.0,73.16666666666667,3.515151515151515,4.3023255813953485
63,84024,84024,83708,leuL,-,83708.0,83622.0,-,-,0.007142857142857143,0.002277904328018223,0.1282051282051282,0.34806629834254144
64,84154,84368,84154,leuO,+,85312.0,84368.0,+,+,0.3333333333333333,0.05555555555555555,0.17204301075268819,0.5490196078431373
65,84188,84368,84188,leuO,+,85312.0,84368.0,+,+,0.4,0.1,0.24691358024691357,0.6947368421052632
66,84304,84368,84304,leuO,+,85312.0,84368.0,+,+,1.25,1.75,0.7076923076923077,1.0096153846153846
67,85420,85630,85420,ilvI,+,87354.0,85630.0,+,+,0.05,0.14285714285714285,0.45569620253164556,0.9354838709677419
68,85453,85630,85453,ilvI,+,87354.0,85630.0,+,+,0.0625,0.11764705882352941,0.8205128205128205,1.0446428571428572
69,85540,85630,85540,ilvI,+,87354.0,85630.0,+,+,0.3888888888888889,0.4,1.240506329113924,1.5514018691588785
70,85600,85630,85600,ilvI,+,87354.0,85630.0,+,+,0.6470588235294118,0.38235294117647056,1.1728395061728396,1.0538461538461539
71,87947,88028,87947,cra,+,89032.0,88028.0,+,+,0.6332179930795848,0.35135135135135137,0.2684563758389262,0.4158878504672897
72,89596,89634,89596,mraZ,+,90092.0,89634.0,+,+,1.3327814569536425,1.4754098360655739,1.4943396226415093,1.203883495145631
73,90010,90094,90010,rsmH,+,91035.0,90094.0,+,+,0.33908329226219813,0.14790528233151184,0.1538076152304609,0.3190512624330528
74,90688,91032,90688,ftsL,+,91397.0,91032.0,+,+,0.4432876712328767,0.349025974025974,0.5489667565139263,0.4448563484708063
75,91012,91032,91012,ftsL,+,91397.0,91032.0,+,+,3.979757085020243,6.191235059760956,7.461111111111111,3.9087947882736156
76,102742,103155,102742,ftsQ,+,103985.0,103155.0,+,+,1.875,1.6131805157593124,0.9965397923875432,1.2823529411764707
77,102867,103155,102867,ftsQ,+,103985.0,103155.0,+,+,1.0862676056338028,1.6810933940774488,1.05,1.0471311475409837
78,103561,103982,103561,ftsA,+,105244.0,103982.0,+,+,1.0379746835443038,0.5334476843910806,0.9619883040935673,0.8040712468193384
79,104636,105305,104636,ftsZ,+,106456.0,105305.0,+,+,1.278688524590164,1.7065527065527066,1.6037735849056605,1.4388489208633093
80,104693,105305,104693,ftsZ,+,106456.0,105305.0,+,+,1.6887052341597797,1.679083094555874,1.6983471074380165,1.4538745387453875
81,105045,105305,105045,ftsZ,+,106456.0,105305.0,+,+,0.35817104149026247,0.2782462057335582,0.36036036036036034,0.5066666666666667
82,106508,106557,106508,lpxC,+,107474.0,106557.0,+,+,1.5724039377580183,1.9336367083807358,1.1517690875232776,1.7777777777777777
83,106530,106557,106530,lpxC,+,107474.0,106557.0,+,+,1.6554259229662778,2.2027986209693773,1.3324590163934427,1.8538189175518462
84,117705,117705,117549,ppdD,-,117549.0,117109.0,-,-,23.0,11.882352941176471,1.8898071625344353,2.0316622691292876
85,118663,118663,118645,nadC,-,118645.0,117752.0,-,-,2.287769784172662,1.4128440366972477,0.7922437673130194,1.2239583333333333
86,118681,118733,118681,ampD,+,119284.0,118733.0,+,+,0.3883495145631068,0.2483221476510067,0.6405693950177936,0.6666666666666666
87,118703,118733,118703,ampD,+,119284.0,118733.0,+,+,0.4462809917355372,0.23214285714285715,0.5870206489675516,0.6061269146608315
88,121650,121650,121551,aroP,-,121551.0,120178.0,-,-,3.8727272727272726,2.87221396731055,0.9879518072289156,3.017326732673267
89,121671,121671,121551,aroP,-,121551.0,120178.0,-,-,3.5483870967741935,2.6349431818181817,0.7448275862068966,2.707317073170732
90,122034,122092,122034,pdhR,+,122856.0,122092.0,+,+,0.9795071335927367,1.5742857142857143,0.6536606751424814,1.0895522388059702
91,122969,123017,122969,aceE,+,125680.0,123017.0,+,+,1.0424601632335795,1.210887332165791,0.663218793828892,1.0159090909090909
92,127717,127912,127717,lpd,+,129336.0,127912.0,+,+,0.7532032328011039,0.7140511376964579,0.7657692307692308,0.6057601510859302
93,131307,131307,131260,yacH,-,131260.0,129407.0,-,-,0.75,0.5,0.6052631578947368,0.70625
94,131466,131466,131260,yacH,-,131260.0,129407.0,-,-,0.6666666666666666,2.6,0.42857142857142855,0.8287671232876712
95,131519,131615,131519,acnB,+,134212.0,131615.0,+,+,2.217129977460556,1.038512035010941,0.8579234972677595,2.1287744227353462
96,131564,131615,131564,acnB,+,134212.0,131615.0,+,+,2.615079365079365,1.067063492063492,1.0794602698650675,2.4305427782888684
97,134339,134388,134339,yacL,+,134750.0,134388.0,+,+,0.25272331154684097,0.1971326164874552,0.32335329341317365,0.3532818532818533
98,136940,136940,136917,yacC,-,136917.0,136570.0,-,-,2.1299435028248586,1.4476987447698744,0.6350710900473934,0.8683870967741936
99,137045,137083,137045,cueO,+,138633.0,137083.0,+,+,3.6666666666666665,5.3061224489795915,0.8098360655737705,1.394927536231884
100,141263,141263,141225,gcd,-,141225.0,138835.0,-,-,1.0903225806451613,1.3368794326241136,0.3457854406130268,0.7622699386503068
101,141279,141279,141225,gcd,-,141225.0,138835.0,-,-,1.0,1.2606473594548553,0.2836230558096981,0.7488789237668162
102,141360,141431,141360,hpt,+,141967.0,141431.0,+,+,0.5328208160851567,0.47155255544840885,0.2174863387978142,0.40293453724604966
103,142703,142703,142670,can,-,142670.0,142008.0,-,-,1.8944652908067543,0.9870298313878081,0.60734149054505,1.4897466827503016
104,144965,145081,144965,yadE,+,146310.0,145081.0,+,+,1.368421052631579,1.0,0.6178489702517163,0.5536
105,145053,145081,145053,yadE,+,146310.0,145081.0,+,+,1.0158730158730158,1.675,0.30173775671406006,0.435723951285521
106,146745,146745,146694,panD,-,146694.0,146314.0,-,-,1.5,1.2509848058525606,1.1129848229342327,1.4716157205240175
107,146898,146968,146898,yadD,+,147870.0,146968.0,+,+,1.0,0.35294117647058826,1.0641711229946524,1.204724409448819
108,146957,146968,146957,yadD,+,147870.0,146968.0,+,+,0.7142857142857143,0.375,1.9653979238754324,1.6456456456456456
109,146959,146968,146959,yadD,+,147870.0,146968.0,+,+,0.5714285714285714,0.375,1.9488054607508531,1.6567164179104477
110,148910,148910,148795,panC,-,148795.0,147944.0,-,-,0.7803921568627451,0.40349740932642486,0.6021739130434782,0.7056737588652482
111,148920,148920,148795,panC,-,148795.0,147944.0,-,-,0.7430830039525692,0.40561724363161333,0.5902547065337763,0.6728971962616822
112,149630,149630,149601,panB,-,149601.0,148807.0,-,-,1.260174418604651,1.677361853832442,1.282574568288854,2.2033383915022764
113,155438,155438,155426,htrE,-,155426.0,152829.0,-,-,1.4285714285714286,0.9230769230769231,1.2930232558139534,0.9258426966292135
114,155518,155518,155426,htrE,-,155426.0,152829.0,-,-,0.75,0.8181818181818182,0.8387096774193549,0.5030581039755352
115,156214,156214,156201,yadV,-,156201.0,155461.0,-,-,1.1428571428571428,1.6666666666666667,0.3376383763837638,0.39180537772087065
116,156224,156224,156201,yadV,-,156201.0,155461.0,-,-,1.1428571428571428,1.6666666666666667,0.36726546906187624,0.4157303370786517
117,156235,156235,156201,yadV,-,156201.0,155461.0,-,-,1.3333333333333333,1.6666666666666667,0.3969957081545064,0.43143297380585516
118,156984,156984,156883,yadN,-,156883.0,156299.0,-,-,0.16666666666666666,0.1724137931034483,0.3017241379310345,0.3488045007032349
119,157031,157031,156883,yadN,-,156883.0,156299.0,-,-,0.16666666666666666,0.14285714285714285,0.33221476510067116,0.360062893081761
120,157055,157055,156883,yadN,-,156883.0,156299.0,-,-,0.3333333333333333,0.4375,0.5177065767284992,0.48440065681444994
121,159151,159151,159126,pcnB,-,159126.0,157729.0,-,-,1.4287812041116006,2.2378815080789947,0.6678403755868545,1.550094517958412
122,159171,159171,159126,pcnB,-,159126.0,157729.0,-,-,1.3897667419112114,2.1755656108597283,0.6374549819927972,1.5213178294573644
123,159195,159195,159126,pcnB,-,159126.0,157729.0,-,-,1.3513725490196078,2.229951690821256,0.5941845764854614,1.4629258517034067
124,159391,159391,159126,pcnB,-,159126.0,157729.0,-,-,0.0886654478976234,0.07115821347464042,0.3291731669266771,0.19541484716157206
125,160143,160143,160112,gluQ,-,160112.0,159186.0,-,-,7.707903780068729,14.233560090702948,8.189427312775331,6.317535545023697
126,160657,160657,160604,dksA,-,160604.0,160149.0,-,-,0.44848189245214,0.37756052141527,0.3970283344851417,0.3976422579913852
127,160722,160722,160604,dksA,-,160604.0,160149.0,-,-,0.36306827058272145,0.28175591531755917,0.32277657266811277,0.32812047494931945
128,160751,160751,160604,dksA,-,160604.0,160149.0,-,-,0.06118106047171484,0.0737873281719071,0.05907990314769976,0.08473389355742297
129,161515,161515,161486,sfsA,-,161486.0,160782.0,-,-,2.595959595959596,2.324786324786325,2.4594594594594597,2.240740740740741
130,162075,162105,162075,hrpB,+,164534.0,162105.0,+,+,1.0393700787401574,2.206896551724138,0.8787878787878788,0.9611650485436893
131,164721,164730,164721,mrcB,+,167264.0,164730.0,+,+,2.8947368421052633,2.6666666666666665,1.853658536585366,2.1411764705882352
132,167442,167484,167442,fhuA,+,169727.0,167484.0,+,+,0.5291005291005291,0.425552353506244,0.4125874125874126,0.6797153024911032
133,174902,174902,174882,hemL,-,174882.0,173602.0,-,-,1.4671916010498687,2.044263775971093,0.9686648501362398,1.4390243902439024
134,174921,174921,174882,hemL,-,174882.0,173602.0,-,-,1.2404418011894647,1.7452339688041594,0.7544757033248082,1.2141560798548094
135,174941,174941,174882,hemL,-,174882.0,173602.0,-,-,1.0567375886524824,1.608767576509512,0.6172985781990521,0.9983633387888707
136,175052,175107,175052,clcA,+,176528.0,175107.0,+,+,3.977777777777778,4.838235294117647,1.7067669172932332,2.464
137,176561,176610,176561,erpA,+,176954.0,176610.0,+,+,1.339300937766411,1.2030237580993521,0.5661218424962853,0.9613793103448276
138,177700,177700,177624,yadS,-,177624.0,177001.0,-,-,1.3333333333333333,1.4251968503937007,0.8381578947368421,0.9652509652509652
139,177757,177757,177624,yadS,-,177624.0,177001.0,-,-,1.2956521739130435,1.7653061224489797,0.605568445475638,0.8303108808290155
140,177786,177786,177624,yadS,-,177624.0,177001.0,-,-,0.7739130434782608,1.3972602739726028,0.6,0.9331210191082803
141,179183,179183,179153,mtn,-,179153.0,178455.0,-,-,1.6567164179104477,1.6818873668188736,0.9733570159857904,1.3385146804835923
142,179196,179237,179196,dgt,+,180754.0,179237.0,+,+,0.9861111111111112,0.5670103092783505,0.978978978978979,1.35656836461126
143,179214,179237,179214,dgt,+,180754.0,179237.0,+,+,1.064102564102564,0.7032967032967034,1.04,1.4120879120879122
144,180845,180884,180845,degP,+,182308.0,180884.0,+,+,1.3795180722891567,1.900355871886121,0.8489208633093526,1.0768
145,182447,182463,182447,cdaR,+,183620.0,182463.0,+,+,0.8666666666666667,2.391304347826087,2.289855072463768,2.5365853658536586
146,185977,185977,185947,dapD,-,185947.0,185123.0,-,-,0.8491497531541415,0.8607359105728924,0.7323943661971831,1.096514745308311
147,188655,188655,188650,glnD,-,188650.0,185978.0,-,-,1.5374149659863945,1.8545454545454545,1.0837696335078535,1.1555555555555554
148,189712,189628,189712,tff,+,189847.0,189712.0,+,+,0.7624431751952442,0.8281717916879702,0.613571553279404,0.7872255885566704
149,191812,191855,191812,pyrH,+,192580.0,191855.0,+,+,1.0795454545454546,1.3093525179856116,0.5234248788368336,1.2496532593619971
150,192812,192872,192812,frr,+,193429.0,192872.0,+,+,0.1062055768179333,0.12550838387442026,0.09431989778139156,0.13649025069637882
151,192814,192872,192814,frr,+,193429.0,192872.0,+,+,0.10639847092017839,0.12561453509084433,0.09570154095701541,0.13509933774834437
152,192849,192872,192849,frr,+,193429.0,192872.0,+,+,0.12101537490418865,0.13569509263187668,0.10897435897435898,0.15176439373839215
153,193335,193521,193335,dxr,+,194717.0,193521.0,+,+,98.63905325443787,118.44252873563218,51.013333333333335,46.53968253968254
154,193338,193521,193338,dxr,+,194717.0,193521.0,+,+,96.25,114.03888888888889,53.767605633802816,46.22222222222222
155,193411,193521,193411,dxr,+,194717.0,193521.0,+,+,101.82978723404256,137.13286713286712,86.4578313253012,43.92920353982301
156,193471,193521,193471,dxr,+,194717.0,193521.0,+,+,71.48175182481752,91.68263473053892,55.48351648351648,27.625
157,194784,194903,194784,ispU,+,195664.0,194903.0,+,+,0.8217562254259502,1.6428571428571428,0.8850574712643678,0.8338461538461538
158,194901,194903,194901,ispU,+,195664.0,194903.0,+,+,1.3846153846153846,1.4034391534391535,1.1848484848484848,1.3238095238095238
159,195555,195677,195555,cdsA,+,196534.0,195677.0,+,+,3.7935222672064777,2.5604770017035774,2.7403508771929825,3.169811320754717
160,195561,195677,195561,cdsA,+,196534.0,195677.0,+,+,3.831967213114754,2.5234113712374584,2.7491166077738516,3.2057416267942584
161,196470,196546,196470,rseP,+,197898.0,196546.0,+,+,0.8317535545023697,0.6136606189967982,0.9230769230769231,1.0049261083743843
162,197026,197928,197026,bamA,+,200360.0,197928.0,+,+,2.53072625698324,1.9685534591194969,2.3488372093023258,1.978448275862069
163,197821,197928,197821,bamA,+,200360.0,197928.0,+,+,1.0961748633879782,0.7934272300469484,0.7134935304990758,1.0613425925925926
165,200960,200971,200960,lpxD,+,201996.0,200971.0,+,+,2.1063140852671345,3.1410123966942147,2.000878734622144,2.2653485952133194
166,208411,208621,208411,accA,+,209580.0,208621.0,+,+,1.4062903920723826,2.2713538640325392,1.4975450081833062,1.6105362182502352
167,211858,211877,211858,yaeR,+,212266.0,211877.0,+,+,1.1884057971014492,0.9010416666666666,0.745945945945946,1.257918552036199
168,214088,214291,214088,yaeQ,+,214836.0,214291.0,+,+,1.0480769230769231,0.5862068965517241,0.8873720136518771,1.9150943396226414
169,214187,214187,214125,yaeP,-,214125.0,213925.0,-,-,0.984375,0.4769736842105263,1.1323529411764706,1.449612403100775
170,214195,214291,214195,yaeQ,+,214836.0,214291.0,+,+,1.4891304347826086,2.287878787878788,1.1111111111111112,1.583815028901734
171,214280,214291,214280,yaeQ,+,214836.0,214291.0,+,+,2.47,4.0256410256410255,1.7592592592592593,1.2352941176470589
172,217135,217135,217003,yaeF,-,217003.0,216179.0,-,-,141.42857142857142,42.44,5.194444444444445,2.6262135922330097
173,218837,218837,218775,proS,-,218775.0,217057.0,-,-,0.8306183219478017,1.5584255842558425,0.7086826347305389,0.817208564631245
174,222714,222714,222645,metN,-,222645.0,221614.0,-,-,1.0529953917050692,1.2011019283746556,0.4251012145748988,1.2133333333333334
175,222806,222833,222806,gmhB,+,223408.0,222833.0,+,+,6.8431372549019605,9.471153846153847,4.627906976744186,3.7761194029850746
176,223485,223771,223485,rrsH,+,225312.0,223771.0,+,+,155.59493670886076,76.97916666666667,66.85,92.95370370370371
177,223593,223771,223593,rrsH,+,225312.0,223771.0,+,+,272.67857142857144,216.625,120.46031746031746,142.04347826086956
178,229098,229167,229098,dkgB,+,229970.0,229167.0,+,+,1.8108108108108107,3.282608695652174,1.3625,1.4862385321100917
179,231064,231122,231064,yafD,+,231922.0,231122.0,+,+,1.0059880239520957,0.6133333333333333,0.7283018867924528,0.9972375690607734
180,231083,231083,230881,yafC,-,230881.0,229967.0,-,-,3.0,3.0277777777777777,0.7704918032786885,1.8888888888888888
181,233982,233982,233955,mltD,-,233955.0,232597.0,-,-,0.7935275080906149,1.8463508322663251,1.1510204081632653,1.3006993006993006
182,234025,234025,233955,mltD,-,233955.0,232597.0,-,-,0.797971259509721,2.128968253968254,1.2057142857142857,1.435897435897436
183,234784,234816,234784,yafS,+,235538.0,234816.0,+,+,1.4921875,1.2954545454545454,1.664835164835165,1.6265560165975104
184,234926,234926,234782,gloB,-,234782.0,234027.0,-,-,2.1666666666666665,1.8415841584158417,1.2289156626506024,1.038338658146965
185,235934,236067,235934,dnaQ,+,236798.0,236067.0,+,+,0.6739130434782609,0.6755952380952381,0.524390243902439,0.7944664031620553
186,236017,236067,236017,dnaQ,+,236798.0,236067.0,+,+,2.2296819787985864,1.3151041666666667,1.0458715596330275,1.7989949748743719
187,236041,236041,236002,rnhA,-,236002.0,235535.0,-,-,3.5098039215686274,2.869047619047619,1.0866666666666667,1.8242424242424242
188,236913,236931,236913,aspV,+,237007.0,236931.0,+,+,421.2857142857143,421.52777777777777,78.6842105263158,9.004464285714286
189,237235,237335,237235,yafT,+,238120.0,237335.0,+,+,0.5217391304347826,0.4507042253521127,0.1419308357348703,0.37689243027888447
190,237260,237335,237260,yafT,+,238120.0,237335.0,+,+,0.5434782608695652,0.5555555555555556,0.19914163090128756,0.5634837355718783
191,237278,237335,237278,yafT,+,238120.0,237335.0,+,+,0.6829268292682927,0.6333333333333333,0.2329136690647482,0.6400437636761488
192,240216,240216,240189,yafV,-,240189.0,239419.0,-,-,0.782608695652174,1.6590909090909092,0.5231158961367954,0.5730027548209367
193,240319,240343,240319,ivy,+,240816.0,240343.0,+,+,1.2784810126582278,0.6467661691542289,0.7334905660377359,1.284046692607004
194,240329,240343,240329,ivy,+,240816.0,240343.0,+,+,1.2195121951219512,0.6615384615384615,0.7064846416382252,1.2383939774153074
195,243406,243406,243303,fadE,-,243303.0,240859.0,-,-,0.8181818181818182,0.5,0.7138728323699421,1.0600706713780919
197,245993,245993,245805,yafK,-,245805.0,245065.0,-,-,0.1781512605042017,0.21774193548387097,0.36741767764298094,0.30821147356580425
198,246615,246615,246502,dinJ,-,246502.0,246242.0,-,-,0.10344827586206896,0.15483870967741936,0.7752808988764045,0.7714285714285715
199,246641,246712,246641,yafL,+,247461.0,246712.0,+,+,0.6,5.0,0.9279279279279279,1.7761194029850746
200,247544,247637,247544,rayT,+,248134.0,247637.0,+,+,0.6818181818181818,1.8666666666666667,1.820754716981132,1.4797297297297298
201,247624,247637,247624,rayT,+,248134.0,247637.0,+,+,1.5454545454545454,4.0,3.239130434782609,2.0462962962962963
202,250880,250898,250880,dinB,+,251953.0,250898.0,+,+,1.5842696629213484,0.9534883720930233,1.107981220657277,1.025735294117647
203,251969,252005,251969,yafN,+,252298.0,252005.0,+,+,2.8666666666666667,3.34375,1.1914893617021276,0.7372549019607844
204,255737,255737,255716,pepD,-,255716.0,254259.0,-,-,2.1575510204081634,3.271198830409357,1.6856368563685638,2.037037037037037
205,255776,255776,255716,pepD,-,255716.0,254259.0,-,-,1.653276955602537,2.551614946168461,1.3159144893111638,1.688128772635815
206,255809,255809,255716,pepD,-,255716.0,254259.0,-,-,1.2274562584118438,1.9147621988882026,0.9696969696969697,1.3373983739837398
207,255914,255977,255914,gpt,+,256435.0,255977.0,+,+,1.6264997391757956,2.125874125874126,1.0275650842266462,1.575085324232082
208,256502,256527,256502,frsA,+,257771.0,256527.0,+,+,2.7664670658682633,3.304054054054054,2.123931623931624,1.9565217391304348
209,257810,257829,257810,crl,+,257907.0,257829.0,+,+,26.658536585365855,26.783783783783782,0.8482490272373541,3.0903010033444818
210,257810,257829,257810,crl,+,259006.0,258676.0,+,+,26.658536585365855,26.783783783783782,0.8482490272373541,3.0903010033444818
211,257824,257829,257824,crl,+,257907.0,257829.0,+,+,27.175,25.153846153846153,0.735191637630662,2.825545171339564
212,257824,257829,257824,crl,+,259006.0,258676.0,+,+,27.175,25.153846153846153,0.735191637630662,2.825545171339564
213,260158,260158,260100,phoE,-,260100.0,259045.0,-,-,0.5714285714285714,0.64,0.40749414519906324,0.8946648426812586
214,260216,260388,260216,proB,+,261491.0,260388.0,+,+,0.33282674772036475,0.7947019867549668,0.7732283464566929,0.6846153846153846
215,260303,260388,260303,proB,+,261491.0,260388.0,+,+,0.6036585365853658,0.8466334164588528,0.7,0.8191011235955056
216,262841,262871,262841,thrW,+,262946.0,262871.0,+,+,9.437908496732026,7.952554744525547,1.276707163803938,0.8998298809166416
217,263818,263818,263669,ykfI,-,263669.0,263328.0,-,-,1.0,0.717741935483871,0.9536894964430186,1.148213342721352
218,266158,266158,266087,ykfB,-,266087.0,265620.0,-,-,0.37254901960784315,0.28901734104046245,0.6650766609880749,0.800575263662512
219,266227,266227,266087,ykfB,-,266087.0,265620.0,-,-,0.41025641025641024,0.19879518072289157,0.5449952636564572,0.5789034233231283
220,268026,268026,268005,yafZ,-,268005.0,267184.0,-,-,0.15714285714285714,0.2885572139303483,0.16645232408598198,0.2244715689193212
222,275119,275325,275119,mmuP,+,276728.0,275325.0,+,+,1.8461538461538463,1.162162162162162,0.8187009279086367,0.8132198297446169
